C601,C602,C003,C006,C101,C102,C103,R001-0501
2024,P10,P020021174,NA,P201,P02,P02,184
2024,P10,P020021181,NA,P101,P01,P02,1
2024,P10,P020021181,NA,P201,P01,P02,18
2024,P10,P020021195,NA,P101,P01,P02,8
2024,P10,P020021195,NA,P108,P01,P02,47
2024,P10,P020021195,NA,P108,P02,P02,3
2024,P10,P020021195,NA,P201,P01,P02,83
2024,P10,P020021195,NA,P201,P02,P02,5
2024,P10,P020021239,NA,P201,P02,P02,1
2024,P10,P020021273,NA,P201,P01,P02,1
2024,P10,P020021284,NA,P108,P01,P02,3
2024,P10,P020021284,NA,P201,P01,P02,67
2024,P10,P020021284,NA,P201,P02,P02,2
2024,P10,P020021292,NA,P108,P01,P02,4
2024,P10,P020021292,NA,P201,P01,P02,8
2024,P10,P020021358,NA,P108,P01,P02,1
2024,P10,P020021358,NA,P201,P01,P02,13
2024,P10,P020021358,NA,P201,P02,P02,2
2024,P10,P020021564,NA,P201,P01,P02,2
2024,P10,P020021564,NA,P201,P02,P02,1
2024,P10,P020030001,NA,P101,P01,P02,173
2024,P10,P020030001,NA,P101,P02,P02,675
2024,P10,P020030001,NA,P108,P01,P02,2945
2024,P10,P020030001,NA,P108,P02,P02,180
2024,P10,P020030001,NA,P201,P01,P02,6500
2024,P10,P020030001,NA,P201,P02,P02,1983
2024,P10,P020030089,NA,P101,P02,P02,54
2024,P10,P020030089,NA,P108,P01,P02,44
2024,P10,P020030089,NA,P108,P02,P02,7
2024,P10,P020030089,NA,P201,P01,P02,92
2024,P10,P020030089,NA,P201,P02,P02,126
2024,P10,P020030107,NA,P101,P01,P02,6
2024,P10,P020030107,NA,P101,P02,P02,3
2024,P10,P020030107,NA,P108,P01,P02,259
2024,P10,P020030107,NA,P108,P02,P02,17
2024,P10,P020030107,NA,P201,P01,P02,375
2024,P10,P020030107,NA,P201,P02,P02,43
2024,P10,P020030131,NA,P101,P01,P02,6
2024,P10,P020030131,NA,P101,P02,P02,6
2024,P10,P020030131,NA,P108,P01,P02,116
2024,P10,P020030131,NA,P108,P02,P02,4
2024,P10,P020030131,NA,P201,P01,P02,47
2024,P10,P020030131,NA,P201,P02,P02,6
