C601,C003,R027-0401,R027-0402,R027-0403,R027-0404
2024,P130300034,No,Si,No,No
2024,P130430022,No,Si,No,No
2024,P130430025,No,Si,No,No
2024,P100230001,No,Si,No,No
2024,P100241689,No,Si,No,No
2024,P100260765,No,Si,No,No
2024,P100320697,No,Si,No,No
2024,P130430027,No,Si,No,No
2024,P130440001,No,Si,No,No
2024,P130460030,No,Si,No,No
2024,P130460042,No,Si,No,No
2024,P100350001,No,Si,No,No
2024,P100353044,No,Si,No,No
2024,P109999999,No,Si,No,No
2024,P110030126,No,Si,No,No
2024,P130460102,No,Si,No,No
2024,P130520019,No,Si,No,No
2024,P130540040,No,Si,No,No
2024,P130580009,No,Si,No,No
2024,P110070507,No,Si,No,No
2024,P110170079,No,Si,No,No
2024,P110170226,No,Si,No,No
2024,P110200014,No,Si,No,No
2024,P130590007,No,Si,No,No
2024,P130590054,No,Si,No,No
2024,P130600033,No,Si,No,No
2024,P130611994,No,Si,No,No
2024,P110204769,No,Si,No,No
2024,P110260507,No,Si,No,No
2024,P110270504,No,Si,No,No
2024,P110330043,No,Si,No,No
2024,P110402319,No,Si,No,No
2024,P110432204,No,Si,No,No
2024,P120000000,No,Si,No,No
2024,P120010866,No,Si,No,No
2024,P130780008,No,Si,No,No
2024,P130780017,No,Si,No,No
2024,P130840004,No,Si,No,No
2024,P130840050,No,Si,No,No
2024,P120423153,No,Si,No,No
2024,P120623465,No,Si,No,No
2024,P130120001,No,Si,No,No
2024,P130150001,No,Si,No,No
2024,P100260736,No,Si,No,No
2024,P100340719,No,Si,No,No
2024,P100360034,No,Si,No,No
2024,P110031936,No,Si,No,No
2024,P110050003,No,Si,No,No
2024,P110072574,No,Si,No,No
2024,P110204119,No,Si,No,No
2024,P110230001,No,Si,No,No
2024,P110270001,No,Si,No,No
2024,P110270005,No,Si,No,No
2024,P110310308,No,Si,No,No
2024,P110363322,No,Si,No,No
2024,P110370022,No,Si,No,No
2024,P110370152,No,Si,No,No
2024,P110379044,No,Si,No,No
2024,P110430048,No,Si,No,No
2024,P130150027,No,Si,No,No
2024,P130150078,No,Si,No,No
2024,P130211991,No,Si,No,No
2024,P130300011,No,Si,No,No
2024,P120010488,No,Si,No,No
2024,P120070188,No,Si,No,No
2024,P120290153,No,Si,No,No
2024,P120580001,No,Si,No,No
2024,P130300014,No,Si,No,No
2024,P130370062,No,Si,No,No
2024,P130430031,No,Si,No,No
2024,P130650869,No,Si,No,No
2024,P130110029,No,Si,No,No
2024,P130121510,No,Si,No,No
2024,P130170847,No,Si,No,No
2024,P130180001,No,Si,No,No
2024,P130190010,No,Si,No,No
2024,P130341341,No,Si,No,No
2024,P130420001,No,Si,No,No
2024,P130520001,No,Si,No,No
2024,P080079999,No,Si,No,No
2024,P080190005,No,Si,No,No
2024,P080192548,No,Si,No,No
2024,P080290001,No,Si,No,No
2024,P100320711,No,Si,No,No
2024,P100372755,No,Si,No,No
2024,P110070742,No,Si,No,No
2024,P110201116,No,Si,No,No
2024,P130610002,No,Si,No,No
2024,P130620002,No,Si,No,No
2024,P130710013,No,Si,No,No
2024,P130730034,No,Si,No,No
2024,P080360051,No,Si,No,No
2024,P080390001,No,Si,No,No
2024,P081272271,No,Si,No,No
2024,P090020476,No,Si,No,No
2024,P130780028,No,Si,No,No
2024,P130790020,No,Si,No,No
2024,P140190109,No,Si,No,No
2024,P140390001,No,Si,No,No
2024,P090061263,No,Si,No,No
2024,P090071357,No,Si,No,No
2024,P090071426,No,Si,No,No
2024,P090111933,No,Si,No,No
2024,P130760820,No,Si,No,No
2024,P130800005,No,Si,No,No
2024,P130840046,No,Si,No,No
2024,P140534164,No,Si,No,No
2024,P110201868,No,Si,No,No
2024,P110230796,No,Si,No,No
2024,P110370186,No,Si,No,No
2024,P120014150,No,Si,No,No
2024,P090111983,No,Si,No,No
2024,P090111991,No,Si,No,No
2024,P090122085,No,Si,No,No
2024,P090140509,No,Si,No,No
2024,P120131155,No,Si,No,No
2024,P120290143,No,Si,No,No
2024,P120320233,No,Si,No,No
2024,P120350015,No,Si,No,No
2024,P140490001,No,Si,No,No
2024,P140610177,No,Si,No,No
2024,P140610358,No,Si,No,No
2024,P140611103,No,Si,No,No
2024,P090172372,No,Si,No,No
2024,P100041726,No,Si,No,No
2024,P100110010,No,Si,No,No
2024,P100121341,No,Si,No,No
2024,P140780001,No,Si,No,No
2024,P140971296,No,Si,No,No
2024,P140981158,No,Si,No,No
2024,P140981198,No,Si,No,No
2024,P100130001,No,Si,No,No
2024,P100260001,No,Si,No,No
2024,P100320001,No,Si,No,No
2024,P100320693,No,Si,No,No
2024,P141200588,No,Si,No,No
2024,P150023991,No,Si,No,No
2024,P150030027,No,Si,No,No
2024,P150050851,No,Si,No,No
2024,P150080076,No,Si,No,No
2024,P150132185,No,Si,No,No
2024,P150314209,No,Si,No,No
2024,P150314281,No,Si,No,No
2024,P140630005,No,Si,No,No
2024,P140670002,No,Si,No,No
2024,P141200567,No,Si,No,No
2024,P141220001,No,Si,No,No
2024,P150330032,No,Si,No,No
2024,P150333746,No,Si,No,No
2024,P150363842,No,Si,No,No
2024,P150400002,No,Si,No,No
2024,P150400011,No,Si,No,No
2024,P150400037,No,Si,No,No
2024,P150452859,No,Si,No,No
2024,P150505303,No,Si,No,No
2024,P150520017,No,Si,No,No
2024,P150560007,No,Si,No,No
2024,P150572290,No,Si,No,No
2024,P150572329,No,Si,No,No
2024,P150630011,No,Si,No,No
2024,P150684502,No,Si,No,No
2024,P150731895,No,Si,No,No
2024,P150761626,No,Si,No,No
2024,P150800030,No,Si,No,No
2024,P150800036,No,Si,No,No
2024,P150820001,No,Si,No,No
2024,P150820011,No,Si,No,No
2024,P150820176,No,Si,No,No
2024,P150820216,No,Si,No,No
2024,P150820512,No,Si,No,No
2024,P150870813,No,Si,No,No
2024,P150029999,No,Si,No,No
2024,P150030002,No,Si,No,No
2024,P150030017,No,Si,No,No
2024,P150030024,No,Si,No,No
2024,P150880003,No,Si,No,No
2024,P150880013,No,Si,No,No
2024,P150880018,No,Si,No,No
2024,P150880053,No,Si,No,No
2024,P150880058,No,Si,No,No
2024,P150970025,No,Si,No,No
2024,P150994088,No,Si,No,No
2024,P150994151,No,Si,No,No
2024,P150030058,No,Si,No,No
2024,P150030075,No,Si,No,No
2024,P150040034,No,Si,No,No
2024,P150070009,No,Si,No,No
2024,P151004064,No,Si,No,No
2024,P151042566,No,Si,No,No
2024,P151042581,No,Si,No,No
2024,P151042682,No,Si,No,No
2024,P140390019,No,Si,No,No
2024,P140390493,No,Si,No,No
2024,P140610325,No,Si,No,No
2024,P140981174,No,Si,No,No
2024,P150071054,No,Si,No,No
2024,P150080037,No,Si,No,No
2024,P150080224,No,Si,No,No
2024,P150114202,No,Si,No,No
2024,P151042793,No,Si,No,No
2024,P151050053,No,Si,No,No
2024,P151110947,No,Si,No,No
2024,P151147349,No,Si,No,No
2024,P151170017,No,Si,No,No
2024,P151170019,No,Si,No,No
2024,P151170054,No,Si,No,No
2024,P151213050,No,Si,No,No
2024,P141151476,No,Si,No,No
2024,P141200001,No,Si,No,No
2024,P141240005,No,Si,No,No
2024,P141249999,No,Si,No,No
2024,P150132159,No,Si,No,No
2024,P150146183,No,Si,No,No
2024,P150190001,No,Si,No,No
2024,P150200096,No,Si,No,No
2024,P151213094,No,Si,No,No
2024,P151214860,No,Si,No,No
2024,P151230028,No,Si,No,No
2024,P151240005,No,Si,No,No
2024,P150020015,No,Si,No,No
2024,P150030013,No,Si,No,No
2024,P150030025,No,Si,No,No
2024,P150030030,No,Si,No,No
2024,P120351749,No,Si,No,No
2024,P120450001,No,Si,No,No
2024,P130100876,No,Si,No,No
2024,P130104273,No,Si,No,No
2024,P130150010,No,Si,No,No
2024,P130150015,No,Si,No,No
2024,P130150023,No,Si,No,No
2024,P130211988,No,Si,No,No
2024,P151240012,No,Si,No,No
2024,P151240026,No,Si,No,No
2024,P151240032,No,Si,No,No
2024,P151240038,No,Si,No,No
2024,P151240051,No,Si,No,No
2024,P151240058,No,Si,No,No
2024,P151240067,No,Si,No,No
2024,P151240098,No,Si,No,No
2024,P150232593,No,Si,No,No
2024,P150233035,No,Si,No,No
2024,P150314993,No,Si,No,No
