C601,C003,R027-0201,R027-0202,R027-0203,R027-0204,R027-0205
2024,140410093,NO,NO,NO,NO,NO
2024,140410094,NO,NO,NO,NO,NO
2024,140410095,NO,NO,NO,NO,NO
2024,140410096,NO,NO,NO,NO,NO
2024,140410097,NO,NO,NO,NO,NO
2024,140410098,NO,NO,NO,NO,NO
2024,140410099,NO,NO,NO,NO,NO
2024,140410100,NO,NO,NO,NO,NO
2024,140410101,NO,NO,NO,NO,NO
2024,140410102,NO,NO,NO,NO,NO
2024,140410103,NO,NO,NO,NO,NO
2024,140410104,NO,NO,NO,NO,NO
2024,140410105,NO,NO,NO,NO,NO
2024,140410106,NO,NO,NO,NO,NO
2024,140410107,NO,NO,NO,NO,NO
2024,140410108,NO,NO,NO,NO,NO
2024,140410109,NO,NO,NO,NO,NO
2024,140410110,NO,NO,NO,NO,NO
2024,140410111,NO,NO,NO,NO,NO
2024,140410112,NO,NO,NO,NO,NO
2024,140410115,NO,NO,NO,NO,NO
2024,140410116,NO,NO,NO,NO,NO
2024,140410117,NO,NO,NO,NO,NO
2024,140420001,NO,NO,NO,NO,NO
2024,140420002,NO,NO,NO,NO,NO
2024,140420003,NO,NO,NO,NO,NO
2024,140420005,NO,NO,NO,NO,NO
2024,140420006,NO,NO,NO,NO,NO
2024,140420007,NO,NO,NO,NO,NO
2024,140420008,NO,NO,NO,NO,NO
2024,140420009,NO,NO,NO,NO,NO
2024,140420010,NO,NO,NO,NO,NO
2024,140420011,NO,NO,NO,NO,NO
2024,140420012,NO,NO,NO,NO,NO
2024,140420013,NO,NO,NO,NO,NO
2024,140420014,NO,NO,NO,NO,NO
2024,140420015,NO,NO,NO,NO,NO
2024,140420016,NO,NO,NO,NO,NO
2024,140420017,NO,NO,NO,NO,NO
2024,140420018,NO,NO,NO,NO,NO
2024,140420019,NO,NO,NO,NO,NO
2024,140420020,NO,NO,NO,NO,NO
2024,140420021,NO,NO,NO,NO,NO
2024,140420022,NO,NO,NO,NO,NO
2024,140420023,NO,NO,NO,NO,NO
2024,140420024,NO,NO,NO,NO,NO
2024,140420025,NO,NO,NO,NO,NO
2024,140420026,NO,NO,NO,NO,NO
2024,140420027,NO,NO,NO,NO,NO
2024,140420028,NO,NO,NO,NO,NO
2024,140420029,NO,NO,NO,NO,NO
2024,140420030,NO,NO,NO,NO,NO
2024,140420031,NO,NO,NO,NO,NO
2024,140420032,NO,NO,NO,NO,NO
2024,140420033,NO,NO,NO,NO,NO
2024,140420034,NO,NO,NO,NO,NO
2024,140420035,NO,NO,NO,NO,NO
2024,140420036,NO,NO,NO,NO,NO
2024,140420037,NO,NO,NO,NO,NO
2024,140420038,NO,NO,NO,NO,NO
2024,140420039,NO,NO,NO,NO,NO
2024,140420041,NO,NO,NO,NO,NO
2024,140420042,NO,NO,NO,NO,NO
2024,140420043,NO,NO,NO,NO,NO
2024,140420044,NO,NO,NO,NO,NO
2024,140420045,NO,NO,NO,NO,NO
2024,140420046,NO,NO,NO,NO,NO
2024,140420047,NO,NO,NO,NO,NO
2024,140420048,NO,NO,NO,NO,NO
2024,140420049,NO,NO,NO,NO,NO
2024,140420052,NO,NO,NO,NO,NO
2024,140420053,NO,NO,NO,NO,NO
2024,140420054,NO,NO,NO,NO,NO
2024,140420057,NO,NO,NO,NO,NO
2024,140420061,NO,NO,NO,NO,NO
2024,140420063,NO,NO,NO,NO,NO
2024,140420067,NO,NO,NO,NO,NO
2024,140420070,NO,NO,NO,NO,NO
2024,140420076,NO,NO,NO,NO,NO
2024,140420079,NO,NO,NO,NO,NO
2024,140420082,NO,NO,NO,NO,NO
2024,140420085,NO,NO,NO,NO,NO
2024,140420096,NO,NO,NO,NO,NO
2024,140420105,NO,NO,NO,NO,NO
2024,140420110,NO,NO,NO,NO,NO
2024,140420117,NO,NO,NO,NO,NO
2024,140420119,NO,NO,NO,NO,NO
2024,140420121,NO,NO,NO,NO,NO
2024,140420130,NO,NO,NO,NO,NO
