C601,C602,C003,C006,C101,C102,C103,R001 0501
2024,P11,NA,355,P206,P01,P01,7
2024,P11,NA,466,P206,P01,P01,82
2024,P11,NA,656,P206,P01,P01,623
2024,P11,NA,653,P206,P01,P01,38
2024,P11,NA,272,P206,P01,P01,853
2024,P11,NA,638,P206,P01,P01,9
2024,P11,NA,726,P206,P01,P01,8
2024,P11,NA,756,P206,P01,P01,3
2024,P11,NA,55,P206,P01,P01,38049
2024,P11,NA,998,P206,P01,P01,353
2024,P11,NA,667,P206,P01,P01,780
2024,P11,NA,468,P206,P01,P01,52
2024,P11,NA,783,P206,P01,P01,104
2024,P11,NA,564,P206,P01,P01,102
2024,P11,NA,313,P206,P01,P01,32
2024,P11,NA,275,P206,P01,P01,2
2024,P11,NA,727,P206,P01,P01,1
2024,P11,NA,415,P206,P01,P01,57
2024,P11,NA,377,P206,P01,P01,1
2024,P11,NA,33,P206,P01,P01,5755
2024,P11,NA,729,P206,P01,P01,551
2024,P11,NA,722,P206,P01,P01,1255
2024,P11,NA,494,P206,P01,P01,84
2024,P11,NA,445,P206,P01,P01,326
2024,P11,NA,473,P206,P01,P01,253
2024,P11,NA,965,P206,P01,P01,8
2024,P11,NA,749,P206,P01,P01,22
2024,P11,NA,994,P206,P01,P01,1
2024,P11,NA,223,P206,P01,P01,62
2024,P11,NA,389,P206,P01,P01,5
2024,P11,NA,438,P206,P01,P01,14
2024,P11,NA,672,P206,P01,P01,2
2024,P11,NA,990,P206,P01,P01,2
2024,P11,NA,388,P206,P01,P01,1
2024,P11,NA,423,P206,P01,P01,1
2024,P11,NA,432,P206,P01,P01,25
2024,P11,NA,993,P206,P01,P01,465
2024,P11,NA,914,P206,P01,P01,46
2024,P11,NA,382,P206,P01,P01,9
2024,P11,NA,933,P206,P01,P01,72
2024,P11,NA,243,P206,P01,P01,63
2024,P11,NA,283,P206,P01,P01,1
2024,P11,NA,625,P206,P01,P01,43
2024,P11,NA,593,P206,P01,P01,1
2024,P11,NA,665,P206,P01,P01,19
2024,P11,NA,456,P206,P01,P01,58
2024,P11,NA,613,P206,P01,P01,10
2024,P11,NA,297,P206,P01,P01,42
2024,P11,NA,274,P206,P01,P01,44
2024,P11,NA,797,P206,P01,P01,21
2024,P11,NA,427,P206,P01,P01,176
2024,P11,NA,776,P206,P01,P01,57
2024,P11,NA,354,P206,P01,P01,31
2024,P11,NA,633,P206,P01,P01,6
2024,P11,NA,697,P206,P01,P01,2
2024,P11,NA,489,P206,P01,P01,4
2024,P11,NA,462,P206,P01,P01,450
2024,P11,NA,222,P206,P01,P01,4445
2024,P11,NA,866,P206,P01,P01,155
2024,P11,NA,867,P206,P01,P01,105
2024,P11,NA,341,P206,P01,P01,140
2024,P11,NA,937,P206,P01,P01,46
2024,P11,NA,478,P206,P01,P01,20
2024,P11,NA,425,P206,P01,P01,14
2024,P11,NA,744,P206,P01,P01,432
2024,P11,NA,618,P206,P01,P01,881
2024,P11,NA,296,P206,P01,P01,47
2024,P11,NA,496,P206,P01,P01,17
2024,P11,NA,352,P206,P01,P01,91
2024,P11,NA,463,P206,P01,P01,11
2024,P11,NA,721,P206,P01,P01,28
2024,P11,NA,347,P206,P01,P01,8
2024,P11,NA,615,P206,P01,P01,2
2024,P11,NA,220,P206,P01,P01,8
2024,P11,NA,353,P206,P01,P01,188
2024,P11,NA,386,P206,P01,P01,9
2024,P11,NA,351,P206,P01,P01,296
2024,P11,NA,686,P206,P01,P01,470
2024,P11,NA,247,P206,P01,P01,82
2024,P11,NA,378,P206,P01,P01,148
2024,P11,NA,563,P206,P01,P01,242
2024,P11,NA,861,P206,P01,P01,70
2024,P11,NA,824,P206,P01,P01,13
2024,P11,NA,472,P206,P01,P01,42
2024,P11,NA,461,P206,P01,P01,654
2024,P11,NA,785,P206,P01,P01,7
2024,P11,NA,294,P206,P01,P01,216
2024,P11,NA,996,P206,P01,P01,31
2024,P11,NA,419,P206,P01,P01,35
2024,P11,NA,872,P206,P01,P01,45
2024,P11,NA,424,P206,P01,P01,5
2024,P11,NA,953,P206,P01,P01,60
2024,P11,NA,772,P206,P01,P01,90
2024,P11,NA,327,P206,P01,P01,10
2024,P11,NA,698,P206,P01,P01,11
2024,P11,NA,448,P206,P01,P01,5
2024,P11,NA,897,P206,P01,P01,4
2024,P11,NA,631,P206,P01,P01,23
2024,P11,NA,284,P206,P01,P01,48
2024,P11,NA,311,P206,P01,P01,439
2024,P11,NA,476,P206,P01,P01,58
2024,P11,NA,442,P206,P01,P01,1218
2024,P11,NA,922,P206,P01,P01,221
2024,P11,NA,934,P206,P01,P01,15
2024,P11,NA,232,P206,P01,P01,113
2024,P11,NA,967,P206,P01,P01,97
2024,P11,NA,226,P206,P01,P01,36
2024,P11,NA,673,P206,P01,P01,62
2024,P11,NA,319,P206,P01,P01,8
2024,P11,NA,637,P206,P01,P01,5
2024,P11,NA,276,P206,P01,P01,43
2024,P11,NA,951,P206,P01,P01,677
2024,P11,NA,588,P206,P01,P01,1
2024,P11,NA,735,P206,P01,P01,749
2024,P11,NA,771,P206,P01,P01,948
2024,P11,NA,687,P206,P01,P01,59
2024,P11,NA,782,P206,P01,P01,430
2024,P11,NA,986,P206,P01,P01,29
2024,P11,NA,241,P206,P01,P01,280
2024,P11,NA,414,P206,P01,P01,42
2024,P11,NA,421,P206,P01,P01,9
2024,P11,NA,745,P206,P01,P01,3
2024,P11,NA,789,P206,P01,P01,26
2024,P11,NA,647,P206,P01,P01,28
2024,P11,NA,412,P206,P01,P01,58
2024,P11,NA,674,P206,P01,P01,2
2024,P11,NA,675,P206,P01,P01,2
2024,P11,NA,436,P206,P01,P01,58
2024,P11,NA,228,P206,P01,P01,1640
2024,P11,NA,376,P206,P01,P01,2
2024,P11,NA,913,P206,P01,P01,8
2024,P11,NA,963,P206,P01,P01,51
2024,P11,NA,346,P206,P01,P01,19
2024,P11,NA,639,P206,P01,P01,102
2024,P11,NA,282,P206,P01,P01,53
2024,P11,NA,343,P206,P01,P01,1
2024,P11,NA,982,P206,P01,P01,30
2024,P11,NA,738,P206,P01,P01,23
2024,P11,NA,646,P206,P01,P01,245
2024,P11,NA,753,P206,P01,P01,70
2024,P11,NA,823,P206,P01,P01,1
2024,P11,NA,624,P206,P01,P01,39
2024,P11,NA,713,P206,P01,P01,51
2024,P11,NA,236,P206,P01,P01,62
2024,P11,NA,627,P206,P01,P01,61
2024,P11,NA,622,P206,P01,P01,57
2024,P11,NA,375,P206,P01,P01,55
2024,P11,NA,733,P206,P01,P01,68
2024,P11,NA,746,P206,P01,P01,11
2024,P11,NA,954,P206,P01,P01,4
2024,P11,NA,477,P206,P01,P01,1503
2024,P11,NA,498,P206,P01,P01,21
2024,P11,NA,972,P206,P01,P01,24
2024,P11,NA,766,P206,P01,P01,2
2024,P11,NA,312,P206,P01,P01,434
2024,P11,NA,443,P206,P01,P01,1597
2024,P11,NA,669,P206,P01,P01,309
2024,P11,NA,661,P206,P01,P01,42
2024,P11,NA,629,P206,P01,P01,18
2024,P11,NA,836,P206,P01,P01,22
2024,P11,NA,453,P206,P01,P01,38
2024,P11,NA,356,P206,P01,P01,14
2024,P11,NA,413,P206,P01,P01,50
2024,P11,NA,595,P206,P01,P01,25
2024,P11,NA,321,P206,P01,P01,10
2024,P11,NA,696,P206,P01,P01,2
