C601,C602,C003 No llenar,C006,C101,C102,C103,R001-0501
2024,P10,NA,696,P205,P01,P01,194
2024,P10,NA,697,P205,P01,P01,282
2024,P10,NA,698,P205,P01,P01,686
2024,P10,NA,712,P205,P01,P01,"113,618"
2024,P10,NA,713,P205,P01,P01,"8,790"
2024,P10,NA,714,P205,P01,P01,438
2024,P10,NA,715,P205,P01,P01,"11,613"
2024,P10,NA,721,P205,P01,P01,105
2024,P10,NA,722,P205,P01,P01,"216,904"
2024,P10,NA,723,P205,P01,P01,3
2024,P10,NA,726,P205,P01,P01,"2,240"
2024,P10,NA,728,P205,P01,P01,11
2024,P10,NA,729,P205,P01,P01,"465,850"
2024,P10,NA,732,P205,P01,P01,447
2024,P10,NA,733,P205,P01,P01,"30,373"
2024,P10,NA,734,P205,P01,P01,"25,676"
2024,P10,NA,735,P205,P01,P01,"90,993"
2024,P10,NA,736,P205,P01,P01,1
2024,P10,NA,738,P205,P01,P01,6
2024,P10,NA,739,P205,P01,P01,31
2024,P10,NA,742,P205,P01,P01,151
2024,P10,NA,744,P205,P01,P01,"109,020"
2024,P10,NA,746,P205,P01,P01,"1,388"
2024,P10,NA,747,P205,P01,P01,"29,487"
2024,P10,NA,748,P205,P01,P01,889
2024,P10,NA,749,P205,P01,P01,644
2024,P10,NA,753,P205,P01,P01,"16,770"
2024,P10,NA,754,P205,P01,P01,297
2024,P10,NA,755,P205,P01,P01,"14,086"
2024,P10,NA,756,P205,P01,P01,"4,273"
2024,P10,NA,757,P205,P01,P01,147
2024,P10,NA,759,P205,P01,P01,52
2024,P10,NA,762,P205,P01,P01,"5,943"
2024,P10,NA,764,P205,P01,P01,"1,243"
2024,P10,NA,765,P205,P01,P01,190
2024,P10,NA,766,P205,P01,P01,"9,389"
2024,P10,NA,767,P205,P01,P01,711
2024,P10,NA,768,P205,P01,P01,1
2024,P10,NA,771,P205,P01,P01,"173,815"
2024,P10,NA,772,P205,P01,P01,"32,900"
2024,P10,NA,773,P205,P01,P01,"62,090"
2024,P10,NA,775,P205,P01,P01,"87,295"
2024,P10,NA,776,P205,P01,P01,"35,768"
2024,P10,NA,777,P205,P01,P01,"254,729"
2024,P10,NA,779,P205,P01,P01,"18,911"
2024,P10,NA,781,P205,P01,P01,199
2024,P10,NA,782,P205,P01,P01,"47,940"
2024,P10,NA,783,P205,P01,P01,"19,323"
2024,P10,NA,784,P205,P01,P01,"9,673"
2024,P10,NA,785,P205,P01,P01,105
2024,P10,NA,786,P205,P01,P01,"8,069"
2024,P10,NA,789,P205,P01,P01,1
2024,P10,NA,791,P205,P01,P01,"3,311"
2024,P10,NA,797,P205,P01,P01,428
2024,P10,NA,821,P205,P01,P01,"5,606"
2024,P10,NA,824,P205,P01,P01,"2,335"
2024,P10,NA,825,P205,P01,P01,94
2024,P10,NA,826,P205,P01,P01,"11,935"
2024,P10,NA,828,P205,P01,P01,"8,719"
2024,P10,NA,831,P205,P01,P01,"8,769"
2024,P10,NA,833,P205,P01,P01,"63,050"
2024,P10,NA,834,P205,P01,P01,"26,760"
2024,P10,NA,842,P205,P01,P01,698
2024,P10,NA,844,P205,P01,P01,"98,353"
2024,P10,NA,861,P205,P01,P01,"1,931"
2024,P10,NA,862,P205,P01,P01,60
2024,P10,NA,864,P205,P01,P01,155
2024,P10,NA,866,P205,P01,P01,"14,987"
2024,P10,NA,867,P205,P01,P01,"94,445"
2024,P10,NA,868,P205,P01,P01,"53,365"
2024,P10,NA,871,P205,P01,P01,"107,787"
2024,P10,NA,872,P205,P01,P01,"8,704"
2024,P10,NA,877,P205,P01,P01,"3,542"
2024,P10,NA,878,P205,P01,P01,"10,913"
2024,P10,NA,891,P205,P01,P01,132
2024,P10,NA,894,P205,P01,P01,"5,791"
2024,P10,NA,897,P205,P01,P01,"2,114"
2024,P10,NA,899,P205,P01,P01,"85,355"
2024,P10,NA,913,P205,P01,P01,1
2024,P10,NA,914,P205,P01,P01,"1,471"
2024,P10,NA,916,P205,P01,P01,"17,325"
2024,P10,NA,917,P205,P01,P01,"19,173"
2024,P10,NA,918,P205,P01,P01,"5,377"
2024,P10,NA,919,P205,P01,P01,"12,630"
2024,P10,NA,921,P205,P01,P01,"72,888"
2024,P10,NA,922,P205,P01,P01,"49,574"
2024,P10,NA,923,P205,P01,P01,"14,599"
2024,P10,NA,924,P205,P01,P01,"15,990"
2024,P10,NA,932,P205,P01,P01,"10,559"
2024,P10,NA,933,P205,P01,P01,"18,155"
2024,P10,NA,934,P205,P01,P01,"13,763"
2024,P10,NA,936,P205,P01,P01,"20,930"
2024,P10,NA,937,P205,P01,P01,"19,865"
2024,P10,NA,938,P205,P01,P01,"31,185"
2024,P10,NA,951,P205,P01,P01,"73,712"
2024,P10,NA,953,P205,P01,P01,"27,793"
2024,P10,NA,954,P205,P01,P01,"15,588"
2024,P10,NA,958,P205,P01,P01,"20,187"
2024,P10,NA,961,P205,P01,P01,"124,357"
2024,P10,NA,962,P205,P01,P01,"54,044"
2024,P10,NA,963,P205,P01,P01,"18,150"
2024,P10,NA,964,P205,P01,P01,"5,860"
2024,P10,NA,965,P205,P01,P01,"6,671"
2024,P10,NA,966,P205,P01,P01,"8,946"
2024,P10,NA,967,P205,P01,P01,"29,317"
2024,P10,NA,968,P205,P01,P01,"13,081"
2024,P10,NA,971,P205,P01,P01,"46,301"
2024,P10,NA,972,P205,P01,P01,365
2024,P10,NA,981,P205,P01,P01,"41,992"
2024,P10,NA,982,P205,P01,P01,"12,812"
2024,P10,NA,983,P205,P01,P01,"29,566"
2024,P10,NA,984,P205,P01,P01,"42,015"
2024,P10,NA,985,P205,P01,P01,"16,133"
2024,P10,NA,986,P205,P01,P01,"11,292"
2024,P10,NA,987,P205,P01,P01,"16,545"
2024,P10,NA,988,P205,P01,P01,"3,415"
2024,P10,NA,991,P205,P01,P01,"6,104"
2024,P10,NA,993,P205,P01,P01,"105,965"
2024,P10,NA,996,P205,P01,P01,"2,959"
